run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,ours_count,rls_count,correctness
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,10,0,1,0.562,892.990,893.552,259.492,ok,,,1307,1307,1307,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,10,0,1,0.386,51.378,51.764,153.023,ok,,,1307,1307,1307,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,11,0,1,0.315,80.138,80.453,186.512,ok,,,2753,2753,2753,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,11,0,1,0.164,30.474,30.638,151.637,ok,,,2753,2753,2753,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,12,0,1,0.389,901.357,901.746,259.512,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,12,0,1,0.332,38.433,38.765,151.637,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,13,0,1,0.218,146.269,146.487,186.527,ok,,,37,37,37,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,0,1,0.194,94.979,95.173,151.637,ok,,,37,37,37,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,14,0,1,0.360,822.060,822.420,259.527,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,14,0,1,0.198,44.104,44.302,152.137,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,15,0,1,0.302,809.028,809.330,259.484,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,15,0,1,0.251,27.291,27.542,152.137,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,16,0,1,0.400,79.101,79.501,186.484,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,16,0,1,0.223,53.949,54.172,152.137,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,17,0,1,0.391,2125.729,2126.120,301.637,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,17,0,1,0.371,1051.450,1051.821,208.516,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,18,0,1,0.570,1037.929,1038.499,328.305,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,18,0,1,0.469,98.388,98.857,215.098,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,19,0,1,0.508,845.006,845.514,329.039,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,19,0,1,0.383,0.049,0.432,205.590,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,21,0,1,0.648,173739.197,173739.845,329.074,ok,,,42,42,42,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,21,0,1,0.618,846.632,847.250,211.090,ok,,,42,42,42,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,22,0,1,0.188,76.216,76.404,245.516,ok,,,7,7,7,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,22,0,1,0.166,36.277,36.443,206.250,ok,,,7,7,7,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,1,0,1,0.812,1084.767,1085.579,152.059,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,1,0,1,0.836,110.884,111.720,101.078,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,2,0,1,0.777,538.118,538.895,165.719,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,2,0,1,0.588,475.103,475.691,130.664,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,3,0,1,0.652,961.574,962.226,248.219,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,3,0,1,0.744,11.920,12.664,130.664,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,4,0,1,0.344,949.858,950.202,256.488,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,4,0,1,0.240,74.573,74.813,131.164,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,5,0,1,0.948,961.642,962.590,263.996,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,5,0,1,0.819,87.998,88.817,149.500,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,6,0,1,0.404,814.941,815.345,268.480,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,6,0,1,0.157,41.168,41.325,150.500,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,7,0,1,0.377,958.697,959.074,264.023,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,7,0,1,0.736,30.912,31.648,151.000,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,8,0,1,0.481,980.513,980.994,269.254,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,8,0,1,0.827,58.363,59.190,152.500,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,9,0,1,0.564,941.994,942.558,269.195,ok,,,100,100,100,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,9,0,1,0.648,340.683,341.331,152.500,ok,,,100,100,100,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,10,0,1,0.774,979.937,980.711,269.141,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,10,0,1,0.552,43.721,44.273,152.500,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,11,0,1,0.408,77.122,77.530,196.211,ok,,,2753,2753,2753,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,11,0,1,0.164,29.830,29.994,152.500,ok,,,2753,2753,2753,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,12,0,1,0.481,931.860,932.341,269.211,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,12,0,1,0.500,38.444,38.944,152.500,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,13,0,1,0.235,59.539,59.774,196.234,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,13,0,1,0.402,1.851,2.253,152.500,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,14,0,1,0.414,815.973,816.387,269.234,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,14,0,1,0.177,41.116,41.293,152.500,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,15,0,1,0.364,811.561,811.925,269.250,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,15,0,1,0.260,26.657,26.917,152.500,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,16,0,1,0.459,75.828,76.287,196.266,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,16,0,1,0.234,51.419,51.653,152.500,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,17,0,1,0.462,2147.287,2147.749,311.293,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,17,0,1,0.320,1040.267,1040.587,208.461,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,18,0,1,0.752,982.966,983.718,330.422,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,18,0,1,0.640,57.563,58.203,207.836,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,19,0,1,0.579,840.841,841.420,327.199,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,19,0,1,0.362,0.047,0.409,206.688,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,21,0,1,0.725,174257.068,174257.793,325.922,ok,,,42,42,42,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,21,0,1,0.604,846.468,847.072,211.688,ok,,,42,42,42,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,22,0,1,0.187,62.537,62.724,249.555,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,22,0,1,0.529,0.979,1.508,206.977,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,1,0,1,1.313,1104.781,1106.094,166.453,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,1,0,1,3.788,922.527,926.315,229.883,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,2,0,1,0.930,527.647,528.577,175.684,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,2,0,1,0.649,481.293,481.942,232.004,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,0,1,0.864,795.286,796.150,249.184,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,3,0,1,3.067,0.174,3.241,232.004,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,4,0,1,0.674,765.132,765.806,266.305,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,4,0,1,2.706,1186.804,1189.510,237.004,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,5,0,1,1.166,761.269,762.435,266.348,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,5,0,1,3.677,0.192,3.869,241.004,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,6,0,1,0.771,831.513,832.284,266.191,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,6,0,1,1.486,685.159,686.645,241.004,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,7,0,1,0.384,814.664,815.048,266.215,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,7,0,1,3.472,0.171,3.643,238.629,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,8,0,1,0.477,787.093,787.570,266.223,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,8,0,1,3.503,0.607,4.110,240.129,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,9,0,1,0.583,745.544,746.127,266.227,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,9,0,1,3.255,1663.079,1666.334,241.129,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,10,0,1,1.014,766.394,767.408,266.309,ok,,,0,0,0,1
